node,cpu,mem,cpu_percent,mem_percent
iCloudNotificati,0,10240.0,0.0,0.00000
AppleSpell,0,44032.0,0.0,0.00000
homed,0,23552.0,0.0,0.00000
assistantd,0,26624.0,0.0,0.00000
warmd,0,2513,0.0,0.00000
com.apple.WebKit,0,49152.0,0.0,0.00000
caphost,0,10240.0,0.0,0.00000
com.apple.WebKit,0,18432.0,0.0,0.00000
ZoomClips,0,63488.0,0.0,0.00000
com.apple.WebKit,0,86016.0,0.0,0.00000
com.apple.WebKit,0,102400.0,0.0,0.00000
com.apple.WebKit,0,76800.0,0.0,0.00000
com.apple.WebKit,0,28672.0,0.0,0.00000
caphost,0,10240.0,0.0,0.00000
zoom.us,0,413696.0,0.0,0.00000
WhatsApp,0,351232.0,0.0,0.00000
mysqld,0,567296.0,0.0,0.00000
zsh,0,3233,0.0,0.00000
fsnotifier,0,3729,0.0,0.00000
pycharm,0,3364864.0,0.0,0.00000
usernoted,0,11264.0,0.0,0.00000
ControlCenter,0,63488.0,0.0,0.00000
com.apple.dock.e,0,15360.0,0.0,0.00000
Dock,0,87040.0,0.0,0.00000
NotificationCent,0,48128.0,0.0,0.00000
heard,0,7553,0.0,0.00000
UserNotification,0,13312.0,0.0,0.00000
